nombre,logo,link,estadio,nombre_completo
Aldosivi,https://www.ligaprofesional.ar/wp-content/uploads/2025/01/ALD-Escudo.png,https://www.ligaprofesional.ar/clubes/aldosivi/,José María Minella,Club Atlético Aldosivi
Argentinos Juniors,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/AAAJ-Clubes.png,https://www.ligaprofesional.ar/clubes/argentinos-juniors/,“Bumeran” Diego Armando Maradona,Asociación Atlética Argentinos Juniors
Atlético Tucumán,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/ATU-escudo-1.png,https://www.ligaprofesional.ar/clubes/atletico-tucuman/,Monumental José Fierro,Club Atlético Tucumán
Banfield,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/BAN-escudo.png,https://www.ligaprofesional.ar/clubes/banfield/,Florencio Solá,Club Atlético Banfield
Barracas Central,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/BAR-Clubes.png,https://www.ligaprofesional.ar/clubes/barracas-central/,Claudio Fabián Tapia,Club Atlético Barracas Central
Belgrano,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/BEL-Clubes.png,https://www.ligaprofesional.ar/clubes/belgrano/,Julio César Villagra,Club Atlético Belgrano
Boca Juniors,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/BOC-escudo.png,https://www.ligaprofesional.ar/clubes/boca-juniors/,Alberto J. Armando,Club Atlético Boca Juniors
Central Córdoba,https://www.ligaprofesional.ar/wp-content/uploads/2025/01/Central-Cordoba-Escudo-2025.png,https://www.ligaprofesional.ar/clubes/central-cordoba/,Alfredo Terrera,Club Atlético Central Córdoba
Defensa y Justicia,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/DYJ-Clubes.png,https://www.ligaprofesional.ar/clubes/defensa-y-justicia/,Norberto Tomaghello,Club Social y Deportivo Defensa y Justicia
Deportivo Riestra,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/RIE-Clubes.png,https://www.ligaprofesional.ar/clubes/deportivo-riestra/,Guillermo Laza,Deportivo Riestra Asociación de Fomento Barrio Colon
Estudiantes,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/ELP-Clubes.png,https://www.ligaprofesional.ar/clubes/estudiantes/,Jorge Luis Hirschi,Club Estudiantes de La Plata
Gimnasia LP,https://www.ligaprofesional.ar/wp-content/uploads/2024/06/GIM-escudo.png,https://www.ligaprofesional.ar/clubes/gimnasia-lp/,Juan Carmelo Zerillo,Club de Gimnasia y Esgrima La Plata
