Equipo,Nombre,Posición,Nacionalidad,Número,Edad
Aldosivi,Carranza,Arquero,Argentina,1,44
Aldosivi,Moyano,Arquero,Argentina,17,34
Aldosivi,González,Arquero,Argentina,41,21
Aldosivi,Kummer,Defensor,Argentina,2,20
Aldosivi,Guerrico,Defensor,Argentina,3,27
Aldosivi,González,Defensor,Argentina,4,25
Aldosivi,Mottes,Defensor,Argentina,6,27
Aldosivi,Laquidaín,Defensor,Argentina,15,24
Aldosivi,Cabral,Defensor,Argentina,20,33
Aldosivi,Breitenbruch,Defensor,Argentina,25,29
Aldosivi,Cerato,Defensor,Argentina,44,27
Aldosivi,Moya,Defensor,Argentina,55,22
Aldosivi,Fernando Román,Defensor,Paraguay,,26
Aldosivi,Bochi,Mediocampista,Argentina,5,38
Aldosivi,Serrago,Mediocampista,Argentina,8,21
Aldosivi,García,Mediocampista,Argentina,10,33
Aldosivi,Preciado,Mediocampista,Ecuador,18,31
Aldosivi,Leiva,Mediocampista,Argentina,21,21
Aldosivi,Paredes,Mediocampista,Argentina,23,21
Aldosivi,Gino,Mediocampista,Uruguay,27,32
Aldosivi,Esponda,Mediocampista,Argentina,29,22
Aldosivi,Falasco,Mediocampista,Argentina,30,21
Aldosivi,García,Mediocampista,Argentina,51,20
Aldosivi,Ludueña,Mediocampista,Argentina,52,21
Aldosivi,Achetoni,Mediocampista,Argentina,55,20
Aldosivi,Chávez,Mediocampista,Argentina,80,24
Aldosivi,Guzmán,Delantero,Argentina,7,26
Aldosivi,Rodríguez,Delantero,Uruguay,9,22
Aldosivi,Palavecino,Delantero,Argentina,11,22
Aldosivi,Rami,Delantero,Argentina,19,22
Aldosivi,De La Vega,Delantero,Argentina,22,22
Aldosivi,Villareal,Delantero,Colombia,24,20
Aldosivi,Cervera,Delantero,Siria,33,23
Aldosivi,Giani,Delantero,Argentina,40,26
Aldosivi,,Director Técnico,Argentina,,
Argentinos Juniors,Mangiaut,Arquero,Argentina,1,21
Argentinos Juniors,Siri Payer,Arquero,Argentina,12,22
Argentinos Juniors,Rodríguez,Arquero,Argentina,50,36
Argentinos Juniors,Palacio,Defensor,Argentina,2,18
Argentinos Juniors,Sánchez,Defensor,Argentina,3,31
Argentinos Juniors,Godoy,Defensor,Argentina,4,32
Argentinos Juniors,Coronel,Defensor,Argentina,14,21
Argentinos Juniors,Álvarez,Defensor,Argentina,16,25
Argentinos Juniors,Prieto,Defensor,Argentina,20,32
Argentinos Juniors,Lozano,Defensor,Uruguay,22,26
Argentinos Juniors,Bravo,Defensor,Argentina,26,28
Argentinos Juniors,Antoni,Defensor,Uruguay,33,22
Argentinos Juniors,Cardozo,Mediocampista,Paraguay,5,21
Argentinos Juniors,Giaccone,Mediocampista,Argentina,7,24
Argentinos Juniors,Lescano,Mediocampista,Argentina,10,23
Argentinos Juniors,Oroz,Mediocampista,Argentina,11,31
Argentinos Juniors,Ferreira,Mediocampista,Argentina,17,25
Argentinos Juniors,López,Mediocampista,Argentina,23,24
Argentinos Juniors,Fattori,Mediocampista,Argentina,24,33
Argentinos Juniors,Gómez,Mediocampista,Argentina,25,21
Argentinos Juniors,Gho,Mediocampista,Argentina,28,22
Argentinos Juniors,Viveros,Mediocampista,Argentina,29,22
Argentinos Juniors,Florentín,Mediocampista,Argentina,,26
Argentinos Juniors,Álvarez,Mediocampista,Argentina,,21
Argentinos Juniors,Ismael Sosa,Delantero,Argentina,18,38
Argentinos Juniors,Bentancourt,Delantero,Uruguay,19,32
Argentinos Juniors,Molina,Delantero,Argentina,27,30
Argentinos Juniors,Brondo,Delantero,Argentina,30,23
Argentinos Juniors,Kida,Delantero,Japón,32,20
Argentinos Juniors,Giménez,Delantero,Argentina,34,26
Argentinos Juniors,Bouhier,Delantero,Argentina,36,
Argentinos Juniors,Porcel,Delantero,Argentina,47,20
Argentinos Juniors,Ovando,Delantero,Argentina,,22
Argentinos Juniors,Diez,Director Técnico,Argentina,,
Atlético Tucumán,Mansilla,Arquero,Argentina,1,29
Atlético Tucumán,Juan Ignacio González,Arquero,Uruguay,12,32
Atlético Tucumán,Albornoz,Arquero,Argentina,31,25
Atlético Tucumán,Gálvez,Defensor,Argentina,2,
Atlético Tucumán,Villa,Defensor,Uruguay,3,28
Atlético Tucumán,Martínez,Defensor,Argentina,4,35
Atlético Tucumán,Ferrari,Defensor,Argentina,6,28
Atlético Tucumán,Marcelo Ortiz,Defensor,Argentina,13,31
Atlético Tucumán,Grillo,Defensor,Argentina,14,32
Atlético Tucumán,Brandán,Defensor,Argentina,16,25
Atlético Tucumán,Galván,Defensor,Argentina,21,22
Atlético Tucumán,Ferreira,Defensor,Paraguay,26,22
Atlético Tucumán,Infante,Defensor,Argentina,32,29
Atlético Tucumán,Brizuela,Defensor,Argentina,33,28
Atlético Tucumán,Vallejo,Defensor,Argentina,,21
Atlético Tucumán,Sánchez,Mediocampista,Argentina,5,26
Atlético Tucumán,Acosta,Mediocampista,Argentina,8,37
Atlético Tucumán,Tesuri,Mediocampista,Argentina,18,29
Atlético Tucumán,Godoy,Mediocampista,Argentina,24,22
Atlético Tucumán,López,Mediocampista,Argentina,30,23
Atlético Tucumán,Godoy,Mediocampista,Argentina,37,21
Atlético Tucumán,Ortíz,Mediocampista,Argentina,45,24
Atlético Tucumán,Bajamich,Delantero,Argentina,9,26
Atlético Tucumán,Albanell,Delantero,Uruguay,10,23
Atlético Tucumán,Coronel,Delantero,Argentina,11,26
Atlético Tucumán,Ruiz Rodriguez,Delantero,Argentina,22,25
Atlético Tucumán,Laméndola,Delantero,Argentina,23,26
Atlético Tucumán,Díaz,Delantero,Argentina,27,33
Atlético Tucumán,Auzqui,Delantero,Argentina,28,34
Atlético Tucumán,Cabrera,Delantero,Argentina,29,27
Atlético Tucumán,Román,Delantero,Italia,34,21
Atlético Tucumán,,Director Técnico,Argentina,,
Banfield,Sanguinetti,Arquero,Argentina,1,24
Banfield,Molina,Arquero,Argentina,12,21
Banfield,Romero,Arquero,Perú,25,24
Banfield,Maldonado,Defensor,Argentina,2,27
Banfield,Danilo Arboleda,Defensor,Colombia,3,30
Banfield,Pombo,Defensor,Argentina,6,24
Banfield,Oviedo,Defensor,Argentina,13,20
Banfield,Vittor,Defensor,Argentina,14,36
Banfield,Colazo,Defensor,Argentina,19,35
Banfield,Iribarren,Defensor,Argentina,29,22
Banfield,Abraham,Defensor,Siria,33,27
Banfield,Daniele,Defensor,Argentina,34,19
Banfield,Alfaro,Defensor,Argentina,44,25
